"Deferred Expense","المصاريف الآجلة"
"Advance Taxes and Charges","الضرائب والرسوم المقدمة"
"Advanced","متقدم"
"Advanced Control","تحكم متقدم"
"Advanced Settings","إعدادات متقدمة"
"Advances","الدفعات المقدمة"
"Affected Transactions","الحركات المتأثرة"
"After Submission","بعد الاعتماد"
"Against","مقابل"
"Against Account","مقابل حساب"
"Against Blanket Order","مقابل أمر توريد مفتوح"
"Against Delivery Note Item","مقابل بند إذن التسليم"
"Against Docname","مقابل اسم المستند"
"Against Doctype","مقابل نوع المستند"
"Against Document Detail No","مقابل رقم تفصيل المستند"
"Against Document No","مقابل رقم المستند"
"Against Expense Account","مقابل حساب المصروفات"
"Against Income Account","مقابل حساب الإيرادات"
"Against Sales Invoice","مقابل فاتورة المبيعات"
"Against Sales Invoice Item","مقابل بند فاتورة المبيعات"
"Against Sales Order","مقابل أمر البيع"
"Against Sales Order Item","مقابل بند أمر البيع"
"Against Stock Entry","مقابل حركة مخزون"
"Against Voucher","مقابل السند"
"Against Voucher No","مقابل رقم السند"
"Against Voucher Type","مقابل نوع السند"
"Ageing Based On","التقادم بناءً على"
"Agenda","جدول الأعمال"
"Agent Busy Message","رسالة الوكيل مشغول"
"Agent Details","تفاصيل الوكيل"
"Agent Group","مجموعة الوكلاء"
"Agent Unavailable Message","رسالة الوكيل غير متاح"
"Agents","الوكلاء"
"Aggregate Function Based On","دالة التجميع بناءً على"
"Algorithm","الخوارزمية"
"Align","محاذاة"
"Align Labels to the Right","محاذاة التسميات إلى اليمين"
"Align Right","محاذاة لليمين"
"All Activities","كافة الأنشطة"
"All Activities HTML","كافة الأنشطة HTML"
"All Day","طوال اليوم"
"Allocate Advances Automatically (FIFO)","توزيع الدفعات المقدمة تلقائيًا (الوارد أولاً صادر أولاً)"
"Allocate Payment Based On Payment Terms","توزيع السداد بناءً على شروط السداد"
"Allocated","مُخصَّص"
"Allocated Amount","المبلغ المُخصَّص"
"Allocated Entries","القيود المُخصَّصة"
"Allocated To","مُخصَّص لـ"
"Allocation","التخصيص"
"Allocations","التخصيصات"
"Allot Points To Assigned Users","تخصيص نقاط للمستخدمين المسند إليهم"
"Allow","السماح بـ"
"Allow Account Creation Against Child Company","السماح بإنشاء حساب لشركة تابعة"
"Allow Alternative Item","السماح بالصنف البديل"
"Allow Auto Repeat","السماح بالتكرار التلقائي"
"Allow Bulk Edit","السماح بالتعديل الجماعي"
"Allow Bulk Editing","السماح بالتعديل الجماعي"
"Allow Comments","السماح بالتعليقات"
"Allow Consecutive Login Attempts ","السماح بمحاولات تسجيل الدخول المتتالية"
"Allow Continuous Material Consumption","السماح بالاستهلاك المستمر للمواد"
"Allow Delete","السماح بالحذف"
"Allow document creation via Email","السماح بإنشاء المستندات عبر البريد الإلكتروني"
"Allow Dropbox Access","السماح بالوصول إلى Dropbox"
"Allow Editing After Submit","السماح بالتعديل بعد الاعتماد"
"Allow events in timeline","السماح بالأحداث في الخط الزمني"
"Allow Excess Material Transfer","السماح بنقل المواد الزائدة"
"Allow existing Serial No to be Manufactured/Received again","السماح بتصنيع/استلام رقم تسلسلي موجود مجددًا"
"Allow Guest","السماح للزائر"
"Allow Guest to comment","السماح للزائر بالتعليق"
"Allow Guest to View","السماح للزائر بالعرض"
"Allow Guests to Upload Files","السماح للزوار برفع الملفات"
"Allow Import (via Data Import Tool)","السماح بالاستيراد (عبر أداة استيراد البيانات)"
"Allow in Quick Entry","السماح في الإدخال السريع"
"Allow In Returns","السماح في المرتجعات"
"Allow Incomplete Forms","السماح بالنماذج غير المكتملة"
"Allow Internal Transfers at Arm's Length Price","السماح بالتحويلات الداخلية بسعر محايد"
"Allow Item To Be Added Multiple Times in a Transaction","السماح بإضافة الصنف عدة مرات في الحركة"
"Allow Lead Duplication based on Emails","السماح بتكرار العملاء المحتملين بناءً على البريد الإلكتروني"
"Allow Login After Fail","السماح بتسجيل الدخول بعد الفشل"
"Allow Login using Mobile Number","السماح بتسجيل الدخول باستخدام رقم الجوال"
"Allow Login using User Name","السماح بتسجيل الدخول باستخدام اسم المستخدم"
"Allow Material Transfer from Delivery Note to Sales Invoice","السماح بنقل المواد من إذن التسليم إلى فاتورة المبيعات"
"Allow Material Transfer from Purchase Receipt to Purchase Invoice","السماح بنقل المواد من إيصال الاستلام إلى فاتورة المشتريات"
"Allow Modules","السماح بالوحدات"
"Allow multi-currency invoices against single party account ","السماح بفواتير متعددة العملات مقابل حساب طرف واحد"
"Allow Multiple Responses","السماح بالردود المتعددة"
"Allow Multiple Sales Orders Against a Customer's Purchase Order","السماح بتعدد أوامر البيع مقابل أمر شراء العميل"
"Allow Negative rates for Items","السماح بأسعار سالبة للأصناف"
"Allow Negative Stock","السماح بالمخزون السالب"
"Allow Older Web View Links (Insecure)","السماح بروابط عرض الويب القديمة (غير آمن)"
"Allow on Submit","السماح عند الاعتماد"
"Allow only one session per user","السماح بجلسة واحدة فقط لكل مستخدم"
"Allow Or Restrict Dimension","السماح بالبعد أو تقييده"
"Allow Overtime","السماح بالعمل الإضافي"
"Allow page break inside tables","السماح بفاصل الصفحات داخل الجداول"
"Allow Partial Payment","السماح بالسداد الجزئي"
"Allow Partial Reservation","السماح بالحجز الجزئي"
"Allow Print","السماح بالطباعة"
"Allow Print for Cancelled","السماح بطباعة الملغى"
"Allow Print for Draft","السماح بطباعة المسودة"
"Allow Production on Holidays","السماح بالإنتاج في العطلات"
"Allow Purchase","السماح بالشراء"
"Allow Purchase Invoice Creation Without Purchase Order","السماح بإنشاء فاتورة مشتريات بدون أمر شراء"
"Allow Purchase Invoice Creation Without Purchase Receipt","السماح بإنشاء فاتورة مشتريات بدون إيصال استلام"
"Allow Purchase Order with Zero Quantity","السماح بأمر شراء بكمية صفرية"
"Allow Quotation with Zero Quantity","السماح بعرض سعر بكمية صفرية"
"Allow Read On All Link Options","السماح بالقراءة على كل خيارات الربط"
"Allow Rename","السماح بإعادة التسمية"
"Allow Rename Attribute Value","السماح بإعادة تسمية قيمة السمة"
"Allow Request for Quotation with Zero Quantity","السماح بطلب عرض سعر بكمية صفرية"
"Allow Resetting Service Level Agreement","السماح بإعادة ضبط اتفاقية مستوى الخدمة"
"Allow Roles","السماح للأدوار"
"Allow Sales","السماح بالبيع"
"Allow Sales Invoice Creation Without Delivery Note","السماح بإنشاء فاتورة مبيعات بدون إذن تسليم"
"Allow Sales Invoice Creation Without Sales Order","السماح بإنشاء فاتورة مبيعات بدون أمر بيع"
"Allow Sales Order Creation For Expired Quotation","السماح بإنشاء أمر بيع لعرض سعر منتهي الصلاحية"
"Allow Sales Order with Zero Quantity","السماح بأمر بيع بكمية صفرية"
"Allow Self Approval","السماح بالموافقة الذاتية"
"Allow Sending Usage Data for Improving Applications","السماح بإرسال بيانات الاستخدام لتحسين التطبيقات"
"Allow Stale Exchange Rates","السماح بأسعار الصرف غير المحدثة"
"Allow Supplier Quotation with Zero Quantity","السماح بعرض سعر مورد بكمية صفرية"
"Allow to Edit Stock UOM Qty for Purchase Documents","السماح بتعديل كمية وحدة المخزون في مستندات الشراء"
"Allow to Edit Stock UOM Qty for Sales Documents","السماح بتعديل كمية وحدة المخزون في مستندات البيع"
"Allow to Make Quality Inspection after Purchase / Delivery","السماح بإجراء فحص الجودة بعد الشراء / التسليم"
"Allow UOM with Conversion Rate Defined in Item","السماح بوحدة قياس ذات معامل تحويل رمز في الصنف"
"Allow User to Edit Discount","السماح للمستخدم بتعديل الخصم"
"Allow User to Edit Price List Rate in Transactions","السماح للمستخدم بتعديل سعر قائمة الأسعار في الحركات"
"Allow User to Edit Rate","السماح للمستخدم بتعديل السعر"
"Allow Zero Rate","السماح بالسعر الصفري"
"Allow Zero Valuation Rate","السماح بسعر تقييم صفري"
"Allowed","مسموح"
"Allowed Doctypes","أنواع المستندات المسموح بها"
"Allowed embedding domains","النطاقات المسموح بتضمينها"
"Allowed File Extensions","امتدادات الملفات المسموح بها"
"Allowed In Mentions","مسموح به في الإشارات"
"Allowed Modules","الوحدات المسموح بها"
"Allowed Roles","الأدوار المسموح بها"
"Allowed To Transact With","مسموح بإجراء حركات مع"
"Alternative Email ID","البريد الإلكتروني البديل"
"Alternative Item Code","رمز الصنف البديل"
"Alternative Item Name","اسم الصنف البديل"
"Always add "Draft" Heading for printing draft documents","إضافة عنوان "مسودة" دائمًا عند طباعة المستندات"
"Always BCC Address","عنوان النسخة المخفية دائمًا"
